city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
3665210,Rodrigues Alves,BR,1597380127,-7.74,-72.65,76.1,72,70,1.88
988290,Komatipoort,ZA,1597380127,-25.43,31.95,59.0,77,16,1.12
3347939,Lobito,AO,1597380127,-12.35,13.55,67.86,89,10,0.72
5911440,Burgeo,CA,1597380127,47.62,-57.62,64.83,71,99,5.88
2016307,Solnechnyy,RU,1597380128,50.72,136.63,71.76,63,100,6.93
1517323,Zhanakorgan,KZ,1597380128,43.91,67.25,87.31,19,0,10.11
4004293,Ixtapa,MX,1597380062,20.7,-105.2,79.0,94,90,2.24
2381972,Adrar,MR,1597379673,20.5,-10.07,91.22,38,53,5.82
3704029,Mulatupo,PA,1597380128,8.95,-77.77,78.49,87,100,7.72
686090,Asău,RO,1597380128,46.43,26.4,60.01,80,0,1.97
1163054,Turbat,PK,1597380128,26.0,63.04,87.3,66,85,3.13
1252948,Warangal,IN,1597379954,18.0,79.58,72.63,93,100,14.5
695082,Ruzhyn,UA,1597380128,49.72,29.2,55.0,76,62,6.31
2208248,Kaitangata,NZ,1597380092,-46.28,169.85,48.99,52,42,7.0
3834601,Tartagal,AR,1597380129,-22.52,-63.8,51.3,46,0,2.77
1488933,Turinsk,RU,1597380129,58.05,63.7,58.12,58,16,4.32
1510998,Balakhta,RU,1597380129,55.38,91.6,69.33,68,66,3.58
698740,Odesa,UA,1597380129,46.48,30.73,62.01,67,0,2.24
2521570,Arrecife,ES,1597380129,28.96,-13.55,71.6,73,75,12.75
290030,Doha,QA,1597379541,25.29,51.53,98.6,30,12,5.82
584991,Şuraabad,AZ,1597380129,40.82,49.47,78.8,74,40,23.04
2414659,Tokonou,GN,1597380129,9.65,-9.78,66.02,99,43,2.89
5955826,Fort Frances,CA,1597380130,48.6,-93.4,72.0,83,75,10.29
2701713,Karlskrona,SE,1597380130,56.16,15.59,51.8,100,19,4.7
3843123,Neuquén,AR,1597379965,-38.95,-68.06,51.8,40,100,14.99
1174872,Karachi,PK,1597380005,24.91,67.08,89.6,66,20,11.41
3204161,Bileća,BA,1597380130,42.87,18.43,73.4,73,0,8.05
6180550,Whitehorse,CA,1597380038,60.72,-135.05,51.8,71,75,2.24
4018582,Ameca,MX,1597380130,20.55,-104.03,66.0,90,100,3.0
10722858,Forsytheganj,BY,1597380130,52.63,29.73,52.81,76,0,4.65
1261871,Naraini,IN,1597380130,25.18,80.48,89.71,64,27,4.72
5850554,Makakilo City,US,1597380131,21.35,-158.09,84.2,51,1,6.93
128747,Karaj,IR,1597380131,35.84,51.01,82.4,52,0,26.4
343134,Āwash,ET,1597380131,8.98,40.17,78.49,59,90,5.41
1729564,Bacolod City,PH,1597380087,10.67,122.95,85.17,69,49,5.84
3421765,Nanortalik,GL,1597379669,60.14,-45.24,44.65,87,100,5.1
6620339,Karratha,AU,1597379683,-20.74,116.85,76.8,25,0,14.61
6690296,Saint-Joseph,RE,1597379700,-21.37,55.62,73.0,53,20,6.93
2037311,Gannan,CN,1597380132,47.91,123.5,66.09,76,100,12.68
2026861,Berdigestyakh,RU,1597380132,62.1,126.7,61.5,36,0,6.4
218680,Boende,CD,1597380132,-0.22,20.87,72.68,94,86,2.77
148251,Julfa,AZ,1597380132,38.96,45.63,73.4,49,90,4.7
608324,Shetpe,KZ,1597380132,44.17,52.12,77.67,41,20,7.02
2338660,Yaan,NG,1597380132,7.38,8.57,72.41,88,100,7.05
187896,Mandera,KE,1597379702,3.94,41.87,79.05,46,83,19.04
2176639,Batemans Bay,AU,1597380132,-35.72,150.18,63.0,79,100,5.01
4616470,Crossville,US,1597380133,35.95,-85.03,70.0,94,40,2.01
338345,Edd,ER,1597380133,13.93,41.69,92.39,47,73,1.99
3141310,Rørvik,NO,1597380133,64.86,11.24,55.4,100,75,5.82
281133,Gaza,PS,1597380133,31.5,34.47,78.01,41,0,1.01
3403611,Campo Alegre,BR,1597380133,-9.78,-36.35,66.2,100,49,2.24
2098329,Daru,PG,1597380133,-9.08,143.21,78.58,84,98,14.83
2738381,Lata,PT,1597379706,40.16,-8.33,63.0,96,7,2.62
3385670,Urucará,BR,1597379690,-2.54,-57.76,77.7,64,74,3.06
321031,Bismil,TR,1597380134,37.85,40.67,80.6,49,0,2.24
4036284,Alofi,NU,1597379721,-19.06,-169.92,78.8,83,9,9.17
1786060,Yuanping,CN,1597380134,38.72,112.76,83.05,44,100,3.24
779554,Honningsvåg,NO,1597380134,70.98,25.97,53.6,87,75,3.22
1489209,Troitskoye,RU,1597380134,52.98,84.68,72.61,57,33,9.33
3347353,Menongue,AO,1597380083,-14.66,17.69,50.79,43,0,4.0
2194098,Ahipara,NZ,1597380099,-35.17,173.17,56.41,80,15,6.64
2020888,Lazo,RU,1597380134,43.38,133.9,69.62,85,100,2.66
2331140,Makurdi,NG,1597380134,7.74,8.51,72.48,94,100,4.99
1519938,Karatau,KZ,1597380135,43.17,70.47,81.34,21,0,6.11
583683,Aksarayskiy,RU,1597380135,46.79,48.01,69.01,60,0,6.71
5660340,Kalispell,US,1597380135,48.2,-114.31,59.0,41,1,5.82
2639912,Preston,GB,1597380110,53.77,-2.72,62.01,89,69,5.08
668431,Rusăneşti,RO,1597380135,43.93,24.6,62.6,82,5,1.95
1529102,Ürümqi,CN,1597380135,43.8,87.6,71.6,56,100,13.42
2158767,Mareeba,AU,1597380135,-17.0,145.43,82.4,51,40,10.29
1568574,Qui Nhon,VN,1597380136,13.77,109.23,88.59,58,100,7.23
498856,Sandovo,RU,1597380136,58.46,36.41,51.89,76,10,5.08
3671337,Puerto Rondón,CO,1597380136,6.28,-71.1,74.73,95,100,4.59
